form,rtol,a,omega,phi,N,hopping,onsite,next onsite,NNN,NNN overtop
linear,1e-09,35.0,3.7,0.0,51,(-0.18721915392576524-1.5985035108654807e-08j),(-8.308589281226411e-08-1.6881180016307252e-06j),(-1.0079122901920923e-07-1.6807112637479938e-06j),(-6.705729157087219e-08+4.272867778486438e-05j),(-5.2197413728978515e-08+4.274469872659045e-05j)
linear,1e-09,35.0,3.8,0.0,51,(-0.13902793016929246-3.010579852889701e-08j),(-6.419602262362073e-08-1.7120096983902655e-06j),(-1.0607267296718764e-07-1.7069484327782433e-06j),(-7.690748520292707e-08+4.357707876640923e-05j),(-3.1425254968554805e-08+4.3588727705814366e-05j)
linear,1e-09,35.0,3.9,0.0,51,(-0.0840056076449966-2.0240808305216935e-08j),(-4.257367621331512e-08-1.7312989431524127e-06j),(6.055904483740979e-08-1.730193512859661e-06j),(9.157303044164287e-08+4.367912650726895e-05j),(-1.6032906395959182e-08+4.3698086916928415e-05j)
linear,1e-09,35.0,4.0,0.0,51,(-0.02594885923671712-5.7284813801801636e-08j),(-1.1388416267725347e-07-1.756297109485833e-06j),(1.4207262471143366e-07-1.7683128981139489e-06j),(1.615681275512435e-07+4.5716329784712445e-05j),(-9.133427745350569e-08+4.574139568860525e-05j)
linear,1e-09,35.0,4.1,0.0,51,(0.0319427985097963-7.4209154603917685e-09j),(-7.000722373443242e-08-1.7612787090442009e-06j),(3.704866130874694e-08-1.767477272326531e-06j),(4.3263165506286175e-08+4.387450437212056e-05j),(-6.277540631944873e-08+4.3945656489955964e-05j)
linear,1e-09,35.0,4.2,0.0,51,(0.0871137847007595-2.1172195006614843e-08j),(2.3053600257027986e-07-1.754326100735395e-06j),(1.8418183065195895e-07-1.7346605094647296e-06j),(1.750834163446232e-07+4.4025191413659296e-05j),(2.2183807768961367e-07+4.40552061312707e-05j)
linear,1e-09,35.0,4.3,0.0,51,(0.13763979337591523-5.550373478200361e-09j),(-5.53305444569302e-08-1.7070580065197255e-06j),(-2.509153667800204e-07-1.7322063802267191e-06j),(-2.9202798941687204e-07+4.332339480510387e-05j),(-7.490698182522834e-08+4.348214075102114e-05j)
linear,1e-09,35.0,4.4,0.0,51,(0.1821654826416166-1.4139146203913883e-08j),(-5.5266135305306885e-08-1.7036006555841629e-06j),(-4.327335809545252e-07-1.7186142913881776e-06j),(-4.639638569968463e-07+4.3420129155526105e-05j),(-8.319827416846531e-08+4.3462700673381245e-05j)
linear,1e-09,35.0,4.5,0.0,51,(0.2198352537289628-1.6607895655062064e-08j),(5.504981685484998e-08-1.6917417808114465e-06j),(-1.958015408438235e-07-1.7108943800363089e-06j),(-2.3423942585283977e-07+4.328553888607678e-05j),(4.91093524613434e-09+4.3428258085637264e-05j)
linear,1e-09,35.0,4.6,0.0,51,(0.25020832261941783-8.90436722143431e-09j),(1.5828480496224147e-07-1.6769177940661488e-06j),(2.624033363469655e-07-1.7068867605821363e-06j),(2.2685529033083553e-07+4.3038086609293315e-05j),(1.1221546179166625e-07+4.3177801111326185e-05j)
linear,1e-09,35.0,4.7,0.0,51,(0.2731781340561102-7.744485744234864e-09j),(8.050845187734801e-08-1.6976015130953085e-06j),(4.984778101055354e-07-1.6975795782543776e-06j),(4.6327241727409443e-07+4.346318049939281e-05j),(5.0740985376926395e-08+4.3490170937633655e-05j)
linear,1e-09,35.0,4.8,0.0,51,(0.2888956286336322-9.812358167453686e-09j),(-7.567533995278541e-09-1.71318706447943e-06j),(-5.6192894514611735e-08-1.6817443629277045e-06j),(-8.495676274023617e-08+4.3279558497946814e-05j),(-3.281720639593949e-08+4.326016359202903e-05j)
linear,1e-09,35.0,4.9,0.0,51,(0.2977026713226385-8.702707612734414e-09j),(7.599167162197773e-08-1.6922349508521685e-06j),(-1.7065315579059548e-07-1.7202285907719312e-06j),(-1.92684801258872e-07+4.3918140265486626e-05j),(3.9818584636128196e-08+4.4041332744854254e-05j)
linear,1e-09,35.0,5.0,0.0,51,(0.30007944740847775-3.634109453785318e-09j),(2.315073019051872e-08-1.729249731908067e-06j),(1.8094285713157743e-07-1.6951037697585228e-06j),(1.6496457958214928e-07+4.35318840197823e-05j),(-8.202821068226118e-09+4.357858384079282e-05j)
linear,1e-09,35.0,5.1,0.0,51,(0.2965910951957482+1.0262398639329143e-09j),(2.797280122172051e-08-1.692892704600966e-06j),(-2.782777317224261e-07-1.721426542017846e-06j),(-2.9256782429137396e-07+4.3722226184781014e-05j),(7.145881381412367e-09+4.3867531311080146e-05j)
linear,1e-09,35.0,5.2,0.0,51,(0.28785660644639255-3.852342083918727e-09j),(9.528912479871935e-09-1.7320738689389013e-06j),(3.0776202513196904e-07-1.704867196993353e-06j),(2.890909302769089e-07+4.3672905938758294e-05j),(4.282072720712682e-09+4.373448807060818e-05j)
linear,1e-09,35.0,5.3,0.0,51,(0.2745129339304368+6.006569372811209e-10j),(4.990607424093593e-09-1.7140573492291438e-06j),(4.872617454755243e-07-1.727978415226578e-06j),(4.904479008120514e-07+4.3931595695755476e-05j),(6.796823208421454e-10+4.401887281045547e-05j)
