"form","rtol","a","omega","phi","N","hopping","onsite","next onsite","NNN","NNN overtop"
"Linear-m","",30,3.7,0.,51,0.14552733539682494+0.00006004852688818578*I,-0.0000161809986310474+0.00003929666080162856*I,0.00004165173905794524+0.00004167525428157926*I,0.000013996132008708495-0.0024081743241645185*I,-1.2470000114389937*^-6-0.0023376858278871438*I
"Linear-m","",30,4.7,0.,51,0.24020322340758832-0.000024138820085847214*I,-6.3740487510465654*^-6+0.00004085423826863359*I,0.00005773594704983672+0.000040848755246837996*I,0.00002505877182118737-0.002353235640000335*I,4.4716969341872595*^-6-0.002271823817014039*I
"Linear-m","",30,5.7,0.,51,-0.08862051515792027-0.00003125081870058499*I,-0.00006411055159120027+0.00004102364588106669*I,0.000047760210120456614+0.00004081927224395992*I,0.000015434575300910143-0.002399398722080268*I,-7.743395325057354*^-6-0.0023217797141832056*I
"Linear-m","",30,6.7,0.,51,-0.32563381044246925-7.239750304153676*^-7*I,-0.00004857673751763001+0.00004112986196200677*I,-0.000025735652042752077+0.00004151861274645556*I,-0.000026899007681245764-0.002405332189396979*I,-2.0799440382818918*^-6-0.0023430603682908094*I
"Linear-m","",30,7.7,0.,51,-0.40191589825202323+0.000015628573553481412*I,-5.935325644378098*^-6+0.00004149446254010459*I,4.10833423379435*^-6+0.00004102769705054666*I,-1.099643225978622*^-6-0.0023116548853642964*I,6.718286786333572*^-7-0.0022425754656473377*I
"Linear-m","",30,8.7,0.,51,-0.3724511390667621+0.00002608992018637174*I,0.000029940235063589254+0.00004150266585714252*I,1.862416062637512*^-6+0.00004181778324828412*I,6.199851443466214*^-7-0.0022313539273896414*I,1.7571265173450118*^-6-0.0021912585569958494*I
"Linear-m","",30,9.7,0.,51,-0.28988087798341566+0.00003481788434384531*I,0.000022810608045488803+0.00004083497045037763*I,0.000022262826373506406+0.000040969439290065357*I,7.631064492296183*^-7-0.002139825414350813*I,-1.1774996234656387*^-7-0.0020871267628572304*I
"Linear-m","",30,10.7,0.,51,-0.18657775631434206+0.00003734990643373109*I,0.000022599756626863476+0.00003981769503948717*I,0.0000301009565337562+0.00003995059520821546*I,2.2092954705789716*^-6-0.002078504975593118*I,1.5753241237349835*^-7-0.002027820412342835*I
"Linear-m","",30,11.7,0.,51,-0.079781780961897+0.00003734555186235153*I,0.000023482681179539007+0.000039607643044074513*I,0.00001711735209377046+0.00003974675449710306*I,3.2621937504008925*^-6-0.0020534554647148083*I,3.966379205664694*^-6-0.0020114017836181074*I
"Linear-m","",30,12.7,0.,51,0.022507545799891476+0.00003454017304673092*I,-6.040387690494894*^-6+0.00004070317998911245*I,0.000010854302001006046+0.000040669942973556817*I,-0.000011368430164081456-0.0019260774136195334*I,-0.000012634024001656214-0.001883307196001302*I
"Linear-m","",30,13.7,0.,51,0.1160850194084956+0.00003220934826540594*I,8.323299679218257*^-6+0.00003999926604681986*I,0.000022719464709112158+0.00003998475855514802*I,-6.787746325634392*^-7-0.0019212084323381236*I,-2.482388303576841*^-6-0.0018774403825528873*I
"Linear-m","",30,14.7,0.,51,0.20042410039352138+0.000029466054121388593*I,0.000024032338028300015+0.00003941208627149631*I,0.000032863607239378735+0.00003941971295541979*I,-8.992130733293316*^-7-0.0018753160994225543*I,-1.0903336160640598*^-6-0.0018234503227845336*I
"Linear-m","",30,15.7,0.,51,0.27553230772797194+0.00002858345850834424*I,0.000021868613055552044+0.00003814682324584825*I,-5.542139660420255*^-6+0.000038337179297469994*I,-1.1807539656368167*^-6-0.0018435696302307762*I,-6.08666821027247*^-7-0.0018166840899110324*I
"Linear-m","",30,16.7,0.,51,0.342077341521863+0.000025666474886782687*I,7.491948525787523*^-6+0.00003936634698160929*I,1.9862114681015383*^-6+0.000039508466981599306*I,-6.906019109648859*^-7-0.0017220674373181687*I,-5.212004372989916*^-7-0.001708698265205936*I
"Linear-m","",30,17.7,0.,51,0.4009192764734296+0.000024108823884865597*I,7.872758883836761*^-6+0.00003731609955055071*I,-2.9034867992669758*^-6+0.00003741076999234433*I,-4.0344156171205625*^-8-0.0017082979395865664*I,-7.700870115721903*^-8-0.0017018356045170968*I
"Linear-m","",30,18.7,0.,51,0.4529598331649797+0.000021031206919384776*I,6.032868707988789*^-7+0.0000374007790917166*I,8.454888031188268*^-7+0.00003737724661628807*I,-2.1327684582685483*^-7-0.0016464519622979177*I,-3.0167607421340004*^-7-0.0016442932801313205*I
"Linear-m","",30,19.7,0.,51,0.4990442745809979+0.00001824054550757314*I,7.767191017701218*^-8+0.00003671605060162941*I,2.202619583425991*^-7+0.00003671639833989977*I,-4.391637282402487*^-7-0.0015546481181784894*I,-5.653890249902871*^-7-0.0015509852030816645*I
"Linear-m","",30,3.7,0.4487989505128276,51,-0.1353749337209779+0.053456505930948466*I,0.000022160292942506425+0.00004208799376307895*I,0.00003229878172117742+0.00004359402133253847*I,-0.001706161725539013-0.001857731006675469*I,-0.001698459083427835-0.0017981165358912877*I
"Linear-m","",30,4.7,0.4487989505128276,51,-0.223741800194008-0.08727965790362087*I,-2.0234980102583344*^-6+0.00004091016167428648*I,0.000017967492778174412+0.000041207303613541386*I,0.0016803751678664616-0.0018088334473475027*I,0.0016257675104784713-0.0017712194652218629*I
"Linear-m","",30,5.7,0.4487989505128276,51,0.057888751194057446+0.06706339589934308*I,0.000013537858211802394+0.00004104158783815443*I,7.729881118831265*^-7+0.000041718512439196344*I,0.002435032524621581+0.0003866323754773427*I,0.002372728712265809+0.0003429467938593695*I
"Linear-m","",30,6.7,0.4487989505128276,51,0.11831427674762125+0.3033641210916766*I,5.370585599112778*^-6+0.00004176391721569322*I,0.000036445692720569675+0.00004207633229210028*I,0.001570329920368192+0.001762173289773605*I,0.0015690421854386502+0.0017059378565118816*I
"Linear-m","",30,7.7,0.4487989505128276,51,0.04796694246964433+0.3990259692067309*I,0.000015701022334506563+0.000042475426727960695*I,0.00003170424825291+0.000042503258090713836*I,0.0005275431479008105+0.0022551175744308536*I,0.0005362419520839375+0.002199211762158674*I
"Linear-m","",30,8.7,0.4487989505128276,51,-0.027770414206755502+0.37140613958871527*I,0.00002083526528390972+0.00004190291087478843*I,-0.000016905178446753252+0.00004245785974602035*I,-0.00032311618280599867+0.002216578142279565*I,-0.00032819480098157574+0.0021719690340708748*I
"Linear-m","",30,9.7,0.4487989505128276,51,-0.06575864016881701+0.2823238922465069*I,0.00004229619639153741+0.000040130192069540404*I,0.00006160191707054244+0.000040148559687537915*I,-0.000974116626686056+0.001974437141682557*I,-0.0009372745597202962+0.001901160389361137*I
"Linear-m","",30,10.7,0.4487989505128276,51,-0.06470844946174292+0.17499218685110646*I,0.00002020354061945881+0.00003935354614059553*I,0.00005852010702416281+0.00003917126534302508*I,-0.001395513873567361+0.0016303249801386806*I,-0.0013515100446665467+0.0015763729314417028*I
"Linear-m","",30,11.7,0.4487989505128276,51,-0.035273689720946445+0.07155674458370596*I,0.000028058832963376735+0.00003919636374640387*I,0.000023489045845205905+0.00003924590562516219*I,-0.0017331113249799766+0.0013240273677052696*I,-0.0016937143660053717+0.0012960773213326659*I
"Linear-m","",30,12.7,0.4487989505128276,51,0.011718397585655738-0.019249380498282308*I,0.000016153975626175188+0.00003899255309105201*I,0.00002704778792619563+0.000039171227506794255*I,-0.0018315807853879406+0.0009608285609170025*I,-0.001777275000782409+0.0009336325483200682*I
"Linear-m","",30,13.7,0.4487989505128276,51,0.06753749430492867-0.09442685706864268*I,0.000021075528817908473+0.00003858170239187543*I,3.608550331980938*^-6+0.00003869537460517627*I,-0.0019071990046173495+0.0006501723016016858*I,-0.0018690544909659083+0.0006409647578249332*I
"Linear-m","",30,14.7,0.4487989505128276,51,0.12687285994987219-0.15515885480943756*I,0.000022149764096642682+0.00003822085775181932*I,-7.664881063029066*^-6+0.000038464073243660414*I,-0.0020075301918914086+0.0004099614291590047*I,-0.0019785176342562005+0.00040204015264319473*I
"Linear-m","",30,15.7,0.4487989505128276,51,0.1861560187934624-0.2031383828176821*I,-4.941096095945063*^-6+0.00003693406691564939*I,7.710135352464662*^-6+0.00003655653281622951*I,-0.0020430365850477063+0.00017886539224330972*I,-0.0020343135063767104+0.00017854329527416815*I
"Linear-m","",30,16.7,0.4487989505128276,51,0.24333865941674102-0.24042429664007706*I,-2.250862650597955*^-6+0.000038054216561472644*I,-3.103053914758902*^-7+0.00003804098671775917*I,-0.0018936046713560184-0.00002207463583016019*I,-0.0018818673347816193-0.000021643516698874668*I
"Linear-m","",30,17.7,0.4487989505128276,51,0.2973218806419284-0.2689547621906765*I,-3.003908687758026*^-7+0.00003685450999025619*I,-1.3834157436293931*^-6+0.00003683221374461493*I,-0.0018286919363109985-0.00018283893644345582*I,-0.0018249035682549562-0.00018265603449891046*I
"Linear-m","",30,18.7,0.4487989505128276,51,0.3475998710341484-0.29042679471144417*I,0.000016687023631691857+0.00003705287824520867*I,9.549993821387354*^-7+0.000037117991188349344*I,-0.001756817895384307-0.0003173954950512661*I,-0.0017507020643503825-0.00031640688693057237*I
"Linear-m","",30,19.7,0.4487989505128276,51,0.39402445095730787-0.3062501200128249*I,2.4632841778843154*^-8+0.00003674693984523579*I,-2.3186779680873376*^-6+0.000036786334929885004*I,-0.0016354710607979996-0.0004160681067043345*I,-0.001634787366985714-0.00041593269506403144*I
